"App name","Date","Time","Duration"
"App Usage","4/6/23","9:04:14 AM","0:00:01"
"Notification posted (Gmail)","4/6/23","9:03:55 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","9:03:55 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","9:03:54 AM","0:00:00"
"Gmail","4/6/23","9:03:52 AM","0:00:21"
"applocker","4/6/23","9:03:50 AM","0:00:02"
"App Usage","4/6/23","9:02:21 AM","0:01:27"
"Business Empire","4/6/23","8:58:40 AM","0:03:31"
"Google Play Store","4/6/23","8:57:50 AM","0:00:49"
"Notification posted (Canvas Student)","4/6/23","8:49:10 AM","0:00:00"
"Notification posted (Canvas Student)","4/6/23","8:49:10 AM","0:00:00"
"Business Empire","4/6/23","8:43:42 AM","0:14:09"
"Google Play Store","4/6/23","8:43:38 AM","0:00:04"
"Chrome","4/6/23","8:43:37 AM","0:00:01"
"Business Empire","4/6/23","8:41:09 AM","0:02:28"
"Business Empire","4/6/23","8:40:48 AM","0:00:18"
"Google Play Store","4/6/23","8:40:46 AM","0:00:03"
"Chrome","4/6/23","8:40:45 AM","0:00:01"
"Business Empire","4/6/23","8:33:11 AM","0:07:34"
"Google Play Store","4/6/23","8:33:09 AM","0:00:02"
"Chrome","4/6/23","8:33:08 AM","0:00:01"
"Business Empire","4/6/23","8:31:16 AM","0:01:51"
"Google Play Store","4/6/23","8:31:12 AM","0:00:04"
"Chrome","4/6/23","8:31:10 AM","0:00:02"
"Business Empire","4/6/23","8:26:17 AM","0:04:52"
"Screen on (unlocked)","4/6/23","8:26:16 AM","0:00:00"
"Screen off","4/6/23","8:26:16 AM","0:00:00"
"Screen off (locked)","4/6/23","8:23:24 AM","0:02:51"
"Business Empire","4/6/23","8:22:11 AM","0:01:12"
"Business Empire","4/6/23","8:16:12 AM","0:02:20"
"Gmail","4/6/23","8:16:09 AM","0:00:01"
"Notification posted (Gmail)","4/6/23","8:14:12 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:12 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:12 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:12 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:12 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:09 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:09 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:09 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:09 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:09 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:09 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:09 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:07 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:06 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:06 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:06 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:06 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:06 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:04 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:04 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:04 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:04 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:04 AM","0:00:00"
"Notification posted (Gmail)","4/6/23","8:14:04 AM","0:00:00"
"Notification posted (Udemy)","4/6/23","8:14:04 AM","0:00:00"
"App Usage","4/6/23","8:14:03 AM","0:02:05"
"Notification posted (Gmail)","4/6/23","8:13:31 AM","0:00:00"
"Gmail","4/6/23","8:12:41 AM","0:01:17"
"applocker","4/6/23","8:12:38 AM","0:00:03"
"App Usage","4/6/23","8:11:18 AM","0:01:15"
"Business Empire","4/6/23","8:03:42 AM","0:07:32"
"Google Play Store","4/6/23","8:03:39 AM","0:00:03"
"Chrome","4/6/23","8:03:38 AM","0:00:01"
"Business Empire","4/6/23","8:00:56 AM","0:02:42"
"Google Play Store","4/6/23","8:00:53 AM","0:00:04"
"Chrome","4/6/23","8:00:51 AM","0:00:01"
"Business Empire","4/6/23","7:59:14 AM","0:01:38"
"Business Empire","4/6/23","7:58:39 AM","0:00:34"
"Notification posted (App Usage)","4/6/23","7:58:37 AM","0:00:00"
"Notification posted (App Usage)","4/6/23","7:58:37 AM","0:00:00"
"Notification posted (Google Play Store)","4/6/23","7:58:30 AM","0:00:00"
"Google Play Store","4/6/23","7:58:14 AM","0:00:01"
"Google Play Store","4/6/23","7:58:14 AM","0:00:23"
"Business Empire","4/6/23","7:58:11 AM","0:00:04"
"Business Empire","4/6/23","7:56:52 AM","0:01:17"
"Notification posted (Google)","4/6/23","7:55:05 AM","0:00:00"
"Notification posted (PUMA)","4/6/23","7:55:04 AM","0:00:00"
"Notification posted (Walmart)","4/6/23","7:55:02 AM","0:00:00"
"Business Empire","4/6/23","7:55:01 AM","0:01:50"
"Screen on (unlocked)","4/6/23","7:54:58 AM","0:00:00"
"Screen on (locked)","4/6/23","7:54:54 AM","0:00:04"
"Notification posted (Calendar)","4/6/23","7:30:00 AM","0:00:00"
"Notification posted (App Usage)","4/6/23","5:20:39 AM","0:00:00"
"Screen off (locked)","4/5/23","11:57:57 PM","7:56:57"
"Business Empire","4/5/23","11:55:29 PM","0:02:26"
"Google Play Store","4/5/23","11:55:25 PM","0:00:04"
"Chrome","4/5/23","11:55:25 PM","0:00:01"
"Business Empire","4/5/23","11:54:36 PM","0:00:49"
"Screen on (unlocked)","4/5/23","11:54:33 PM","0:00:01"
"Screen on (locked)","4/5/23","11:54:29 PM","0:00:04"
"Screen off (locked)","4/5/23","11:54:14 PM","0:00:15"
"Notification posted (Upstox)","4/5/23","11:53:52 PM","0:00:00"
"Screen on (unlocked)","4/5/23","11:53:52 PM","0:00:00"
"Screen on (locked)","4/5/23","11:53:51 PM","0:00:00"
"Screen off (locked)","4/5/23","11:29:07 PM","0:24:44"
"Screen on (locked)","4/5/23","11:29:05 PM","0:00:02"
"Screen off (locked)","4/5/23","11:12:58 PM","0:16:07"
"Screen on (locked)","4/5/23","11:12:57 PM","0:00:01"
"Screen off (locked)","4/5/23","11:12:41 PM","0:00:16"
"Business Empire","4/5/23","11:11:16 PM","0:01:23"
"Screen on (unlocked)","4/5/23","11:11:09 PM","0:00:00"
"Screen off","4/5/23","11:11:08 PM","0:00:00"
